Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
Meininger market and city development,Planning Cell,Planning Cell,Ad hoc,,,Meininger market and city development,To produce recommendations and suggestions for the rebuilding of the Meininger market,,,,http://pzdb.jazzpis.space/cells/48,1997,Germany,Yes,Local Government,Meiningen,Bonn University - Department of Geography,https://www.geographie.uni-bonn.de/frontpage?set_language=en,Academia,Infrastructure,,2,49,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the Thuringian Ministry of Economic Affairs and Infrastructure,Face-to-face,,50.57342505,10.42837114,,,checked
Calafell citizens' jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Calafell citizens' jury,To produce recommendations with regards to social and economic development,"Yes, the Jurors commission",Citizens,Oversight,,1998,Spain,Yes,Local Government,Calafell ,,,"Private sector,Academia",Other,,4,81,Single stage random selection (e.g. polling company recruitment),"500 randomly selected and contacted, out of those 81 attended the event",,,,,,Remunerated,,Presentations to the jury,,,,No,,4,,,,,,,not available,,None of the recommendations implemented,,,,,,,,,50000,EUR,,Face-to-face,,41.2014639,1.5680321,,,checked
Volunteering and Social Commitment,Planning Cell,Planning Cell,Ad hoc,,,Volunteering and Social Commitment,To identify new possibilities for using the existing potential of civic engagement as well as new forms of citizen inclusion in decision making,,,,http://pzdb.jazzpis.space/cells/46,1998,Germany,Yes,Regional/State,Baden-Wurttemberg,Academy of Technology Assessment in Baden-Württemberg,,Government,Citizen engagement,,6,149,Two-stage random selection (e.g. civic lottery),,,,29.00%,,,,,,,,,No,,4,,,,,,,21 Germany (in german),,,,,,,,,,,,,Budget of the State Government of Baden-Wuerttemberg,Face-to-face,,48.44248281,9.045901812,,,checked
Corbera citizens' jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Corbera citizens' jury,To produce recommendations with regards to the integration of immigrants,"Yes, Political commission",Government representatives,"Oversight,Ensuring balanced information",,1998,Spain,Yes,Local Government,Corbera,,,"Private sector,Academia",Other,,3,72,Single stage random selection (e.g. polling company recruitment),"555 randomly selected and contacted, out of those 72 attended the event",,,,4,,Remunerated,,Presentations to the jury,,,,No,,3,,,,,,,not available,,None of the recommendations implemented,,,,,,,,,50000,EUR,,Face-to-face,,39.1580768,-0.3540631,,,checked
Montornes I citizens' Jury ,Citizens' Jury,Citizens' Jury,Ad hoc,,,Montornes I citizens' Jury ,To produce recommendations with regards to the design of an urban park,,,,,1998,Spain,Yes,Local Government,Montornes,,,"Private sector,Academia",Urban planning,,4,52,Single stage random selection (e.g. polling company recruitment),"450 randomly selected and contacted, out of those 52 attended the event",,,,4,,Non-remunerated,,Presentations to the jury,,,,No,,1,0,,,,,,not available,,Implementation of all recommendations,,,,,,,,,5000,EUR,,Face-to-face,,41.542545,2.2670557,,,checked
Planning cells on employment perspectives in Neuberensinchen,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten: Arbeiten in Neuberensinchen,Which employment perspectives do exist and how can they be developed?,"Yes, a scientific committee",Academics,"Oversight,Design and facilitation",https://idpf.uni-wuppertal.de/fileadmin/idpf/Arbeiten_in_Neuberesinchen_1999_ohne.pdf,1999,Germany,Yes,Local Government,"Frankfurt (Oder), District Neuberensinchen, Brandenburg, Germany",Citizen Consult Institute for Citizen Report's GmbH,https://idpf.uni-wuppertal.de/,Academics,Other,,5,104,Random selection (stages unclear),Selected at random from the population register. The invitation to the process came from an association for public participation.,Post,Other (please specify in participant selection methodology details),,,,,Academics,The methodological design of the planning cells. ,,,"Regional media, official gazette",,,4,,,"Experts available at meetings for presentations and/or questions,Participants can request information",,,"A written report with policy recommendations (e.g.: sound sphere of acitivity, good frame conditions, financing) was handed over to political authorities. ",,checked,,,,,,,,,,,,,Face-to-face,,,,,,
Planning cells on Witten's 'corn market' development,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten: Johannisviertel und Kornmarkt in Witten,How should the area around the 'Johannisviertel' and the 'corn market' be developed?,"Yes, a scientific committee",Academics,"Oversight,Design and facilitation",https://idpf.uni-wuppertal.de/fileadmin/idpf/B%C3%BCrgergutachten_Mitten_in_Witten.pdf,1999,Germany,Yes,Local Government,"Witten, North Rhine-Westphalia, Germany",Citizen Consult Institute for Citizen Report's GmbH,https://idpf.uni-wuppertal.de/,Academics,Urban planning,,4,92,Random selection (stages unclear),Selected at random from the population register.,Post,"Mayor,Head of public institution",,,,,Academics,The methodological design of the planning cells. ,,,"Regional media, official gazette",,,4,,,"Experts available at meetings for presentations and/or questions,Participants can request information",,,"A written report with policy recommendations (e.g.: green areas, seating-accomodation, better acces for public transport) was handed over to political authorities. ",,checked,Implementation of some recommendations (% unknow),,,,,,,,,,,,Face-to-face,,51.4465251,7.3676528,,,
Consensus conference on genetically-modified foods,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on genetically-modified foods,To hear citizens opinions on regulation and ethical aspects of genetically modified foods.,"Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/final-document-of-the-consensus-conference-on-genetically-modified-food/?lang=en,1999,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Technology,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,No,,3,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",,,"The panel recommends the establishment of a committee charged with ensuring an ethical
evaluation of the authorisation process.
The panel recommends that ethical aspects be given the same priority as purely technical
aspects in relation to applications for testing, production and marketing of geneticallymodified foods.",3 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67133579,10.33441509,,,checked
Montornes II citizens' Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Montornes II citizens' Jury,To produce recommendations with regards to the design of an urban park,,,,,1999,Spain,Yes,Local Government,Montornes,,,"Private sector,Academia",Urban planning,,3,56,Single stage random selection (e.g. polling company recruitment),"402 randomly selected and contacted, out of those 56 attended the event",,,,4,,Non-remunerated,,Presentations to the jury,,,,No,,2,,,,,,,not available,,Implementation of all recommendations,,,,,,,,,5000,EUR,,Face-to-face,,41.53841251,2.262923206,,,checked
Bürgeramt Hannover South-East,Planning Cell,Planning Cell,Ad hoc,,,Bürgeramt Hannover South-East,To produce recommendations for the choice of location as well as expectations of the services offered by the new Hanover City South-East Office.,,,,http://www.koris-hannover.de/arbeitsfelder/verwaltungsmodernisierung-buergerorientierte-verwaltung/buergeramt-hannover-sued-ost-buergergutachten/,1999,Germany,Yes,Local Government, South-East Hanover ,Koris,http://www.koris-hannover.de/,Private sector,Public services,,6,167,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of Hannover,Face-to-face,,52.3198615,9.8098736,,,checked
Consensus conference on radioactive waste management,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on radioactive waste management,"To focus on the effective and publicly acceptable long term management of nuclear waste in the UK, both civil and military, concentrating particularly on intermediate and high level waste",,,,,1999,UK,Yes,National/Federal,UK,UK CEED,,Private sector,Environment,,1,15,Two-stage random selection (e.g. civic lottery),"Four thousand people, randomly selected from the national electoral register, were invited to take part in the consensus conference as a member of the citizens' panel. Just over 120 people responded expressing their interest. They were then contacted again, given details of the conference topic and asked to confirm that they were still available for the necessary dates. Around 70 people responded. From this group of people the 16 members of the panel were selected, essentially at random, whilst ensuring that there was an even balance of men and women with a mix of educational backgrounds and that regions throughout the country were represented. ","Post,Phone",,,,,Non-remunerated,,,,,,No,,8,10,,"Learning sessions,Experts available at meetings for presentations and/or questions,Participants can request information,Introductory reading material before 1st meeting",,,"In conclusion the panel was unanimous that in order for a solution to be publicly acceptable, the waste MUST remain accessible and monitorable to give future generations a chance to deal with the problem if/when a solution is found",11 United Kingdom,,,,,,,,,,,,,Budget of UK CEED,Face-to-face,,54.7023545,-3.2765753,The participants attended the two preparatory weekends before the actual conference,,checked
Consensus conference: gene technology in the food chain,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference: gene technology in the food chain,To provide feedback and consensus on the use of gene technology in food production,"Yes, a steering committee","Government representatives,Academics,Expert practitioners,NGO's",,http://www.abc.net.au/science/slab/consconf/dinner.htm,1999,Australia,Yes,National/Federal,Australia,The Australian Consumers' Association,,Non-Governmental Organisation,Technology,,1,14,Single stage random selection (e.g. polling company recruitment),"200 people replied to adds, from them 14 chosen","Phone,Other",,,,,,,,,,Use of local and national media,No,,9,7,,,,,,http://www.abc.net.au/science/slab/consconf/report.htm#final,,,,,,,,,,,,,,Face-to-face,,-24.7761086,134.755,,,checked
Future development of the city of Meerbusch,Planning Cell,Planning Cell,Ad hoc,,,Future development of the city of Meerbusch,"To provide recommendations on the question whether the development of Meerbusch should be central or decentralized, as well as what should be the future use of the central urban area.  ",,,,http://pzdb.jazzpis.space/cells/39,1999,Germany,Yes,Local Government, Meerbusch,"Citizen Consult, Institut für Bürgergutachten GmBH",,,Urban planning,,6,132,Two-stage random selection (e.g. civic lottery),,,,,3,,,,,,,,No,,4,,,,,,,17 Germany (in german),,,,,,,,,,,,,Budget of thr City of Meerbusch,Face-to-face,,51.2652237,6.6760958,,,checked
Citizens' Jury on Minnesota property tax reform,Citizens' Jury,Citizens' Jury,Ad hoc,,,Citizens' Jury on Minnesota property tax reform,To examine the Minnesota property tax system and several key reform proposals. The Citizens Jury was the initial step in an 18-month reform process leading up to the 2001 legislative session. The jury’s recommendations were used to launch an extended series of community-based discussions across the state on tax reform issues.,"Yes, the Advisory Committee","Government representatives,Citizens,NGO's,Business","Providing expert knowledge,Ensuring balanced information,Oversight",,1999,USA,Yes,Regional/State,Minnesota,Jefferson Center,https://jefferson-center.org/about-us/,Non-Governmental Organisation,Taxation,,1,17,Two-stage random selection (e.g. civic lottery),"737 residents randomly surveyed by phone, 385 of those were interested in participating. They were then sent more information and asked to fill in a form. 18 out of those who sent in the form selected as a stratified sample (age, gender, education, race, location, taxpayer status). ",Phone,,2.00%,,,,"Government Officials,Academics",Act as witnesses to provide information and perspectives to the panel,,,,No,,5,0,,"Experts available at meetings for presentations and/or questions,Learning sessions,Reading material between meetings",,,Recomendations included specific answers to questions (1) what role should the property tax play in financing local governments and (2) what should be done to improve the property tax system,11 USA,checked,,,,,checked,Participant exit survey,Available within the report,,,,,Budget of the Minnesota department of revenue,Face-to-face,,45.99406467,-94.60692283,,,checked
